N,P,AVERAGE CONNECTIVITY
21,1.0,1.0
22,0.1,0.0
22,0.2,0.29967532467532465
22,0.30000000000000004,0.2835169880624427
22,0.4,0.35268595041322315
22,0.5,0.49394443939898486
22,0.6000000000000001,0.6345944756372565
22,0.7000000000000001,0.7584067834314105
22,0.8,0.8378540362286491
22,0.9,0.867110112969246
22,1.0,1.0
23,0.1,0.05217391304347826
23,0.2,0.12505175983436856
23,0.30000000000000004,0.2885093167701864
23,0.4,0.43607648390257087
23,0.5,0.5260163749294184
23,0.6000000000000001,0.5788636484288656
23,0.7000000000000001,0.7016399059877318
23,0.8,0.844717364790726
23,0.9,0.9007096958469956
23,1.0,1.0
24,0.1,0.09305555555555556
24,0.2,0.32321428571428573
24,0.30000000000000004,0.3041215728715729
24,0.4,0.40152047027047044
24,0.5,0.5640876960729901
24,0.6000000000000001,0.5676517858503153
24,0.7000000000000001,0.7115145360888393
24,0.8,0.7976121881501141
24,0.9,0.8927378420799471
24,1.0,1.0
25,0.1,0.11047619047619048
25,0.2,0.277015873015873
25,0.30000000000000004,0.2913626373626374
25,0.4,0.3834558774558773
25,0.5,0.49663780663780654
25,0.6000000000000001,0.5797236684883743
25,0.7000000000000001,0.7347177796403804
25,0.8,0.8052859435773694
25,0.9,0.923659907344118
25,1.0,1.0
26,0.1,0.06538461538461539
26,0.2,0.1628815628815629
26,0.30000000000000004,0.24045121545121545
26,0.4,0.4265756993132559
26,0.5,0.4889406533637303
26,0.6000000000000001,0.6683714316960327
26,0.7000000000000001,0.6566617731716564
26,0.8,0.7966466926606247
26,0.9,0.8876485159894771
26,1.0,1.0
27,0.1,0.055555555555555546
27,0.2,0.1980653091764203
27,0.30000000000000004,0.23872053872053872
27,0.4,0.38043972488416944
27,0.5,0.4587188531632976
27,0.6000000000000001,0.6349053916563376
27,0.7000000000000001,0.6323799065285134
27,0.8,0.7918334129245574
27,0.9,0.9180632648138369
27,1.0,1.0
28,0.1,0.02142857142857143
28,0.2,0.15884353741496599
28,0.30000000000000004,0.28955112347969497
28,0.4,0.39739328132185275
28,0.5,0.47190997611165686
28,0.6000000000000001,0.6093964036356783
28,0.7000000000000001,0.7114300792780881
28,0.8,0.796249186512176
28,0.9,0.8776093029051515
28,1.0,1.0
29,0.1,0.09770114942528736
29,0.2,0.2230979748221127
29,0.30000000000000004,0.32675198364853536
29,0.4,0.4131479631479633
29,0.5,0.5615047879300041
29,0.6000000000000001,0.5708581017217719
29,0.7000000000000001,0.6985508974820435
29,0.8,0.7818571909990444
29,0.9,0.9052225328584518
29,1.0,1.0
30,0.1,0.08349206349206349
30,0.2,0.20661375661375667
30,0.30000000000000004,0.3258022043316161
30,0.4,0.44427248677248693
30,0.5,0.4802588688115004
30,0.6000000000000001,0.5851283468853128
30,0.7000000000000001,0.746657182200997
30,0.8,0.825453868934261
30,0.9,0.9264770770902705
30,1.0,1.0
31,0.1,0.11505376344086024
31,0.2,0.21290322580645163
31,0.30000000000000004,0.25503922600696793
31,0.4,0.4421409288581965
31,0.5,0.5033505676719497
31,0.6000000000000001,0.5940695716633302
31,0.7000000000000001,0.6579735564400717
31,0.8,0.7654939786393244
31,0.9,0.8998691941594684
31,1.0,1.0
32,0.1,0.17886904761904762
32,0.2,0.17180059523809524
32,0.30000000000000004,0.32424953518703525
32,0.4,0.3832190940187264
32,0.5,0.4958517002755586
32,0.6000000000000001,0.5979959337650692
32,0.7000000000000001,0.7108948817107721
32,0.8,0.8037813586836855
32,0.9,0.9095594176736419
32,1.0,1.0
33,0.1,0.10793650793650794
33,0.2,0.20622676986313354
33,0.30000000000000004,0.3101454051988812
33,0.4,0.3964566859374065
33,0.5,0.5100176019891753
33,0.6000000000000001,0.6163682106714325
33,0.7000000000000001,0.6678909655223608
33,0.8,0.7836061332899277
33,0.9,0.902422712245664
33,1.0,1.0
34,0.1,0.09824929971988795
34,0.2,0.22726423902894494
34,0.30000000000000004,0.2764843000137118
34,0.4,0.41798764455156734
34,0.5,0.47220609804610886
34,0.6000000000000001,0.6141770447796316
34,0.7000000000000001,0.7068138092055886
34,0.8,0.8021016179275284
34,0.9,0.9148127830901993
34,1.0,1.0
35,0.1,0.021904761904761903
35,0.2,0.21614203257060402
35,0.30000000000000004,0.30082932940075807
35,0.4,0.40270602757113155
35,0.5,0.5183213243584762
35,0.6000000000000001,0.6291643682441906
35,0.7000000000000001,0.7317275237278392
35,0.8,0.7958613733947818
35,0.9,0.8953374304390375
35,1.0,1.0
36,0.1,0.06243386243386243
36,0.2,0.16259419592752933
36,0.30000000000000004,0.31529134445801116
36,0.4,0.39605588674216136
36,0.5,0.5577486897781987
36,0.6000000000000001,0.6230482870931899
36,0.7000000000000001,0.7272340729546818
36,0.8,0.7862936197059391
36,0.9,0.9241056039695459
36,1.0,1.0
37,0.1,0.17724152724152725
37,0.2,0.21304161304161306
37,0.30000000000000004,0.3069559966618791
37,0.4,0.38855225697330964
37,0.5,0.4878697117632373
37,0.6000000000000001,0.5558339363838085
37,0.7000000000000001,0.6926054838964173
37,0.8,0.7882233772823557
37,0.9,0.9179561209905384
37,1.0,1.0
38,0.1,0.07493734335839601
38,0.2,0.1805162673583726
38,0.30000000000000004,0.3678615029621222
38,0.4,0.41407248876085445
38,0.5,0.4775541868013759
38,0.6000000000000001,0.5881987750927931
38,0.7000000000000001,0.7091877337734036
38,0.8,0.7984255730039447
38,0.9,0.8905229420653981
38,1.0,1.0
39,0.1,0.044322344322344324
39,0.2,0.21475689552612628
39,0.30000000000000004,0.31870362312134176
39,0.4,0.39229004525503697
39,0.5,0.49831402144375186
39,0.6000000000000001,0.6430222589106049
39,0.7000000000000001,0.7010983914014282
39,0.8,0.77999174491764
39,0.9,0.9168365754332876
39,1.0,1.0
40,0.1,0.1901190476190476
40,0.2,0.19586913086913088
40,0.30000000000000004,0.3024021199388848
40,0.4,0.41121906398592367
40,0.5,0.5147257683519124
40,0.6000000000000001,0.6169754436288697
40,0.7000000000000001,0.695058724374108
40,0.8,0.7921034808923884
40,0.9,0.8717395749502448
40,1.0,1.0
41,0.1,0.09889663182346113
41,0.2,0.1587055221201563
41,0.30000000000000004,0.2811567171700827
41,0.4,0.39799844726409705
41,0.5,0.49721118612367027
